sup	frequent itemsets
48	2D	10D	
47	2D	13D	
42	2D	21U	
42	2D	24D	
40	2D	26U	
50	2D	28D	
44	2D	32D	
41	2D	36U	
50	2D	38D	
48	2D	41D	
48	2D	47U	
46	2D	52D	
43	2D	54U	
43	2D	58D	
48	2D	59U	
45	2D	65D	
43	2D	67U	
45	2D	68D	
44	2D	69D	
44	2D	70D	
49	2D	72U	
40	2D	76D	
44	2D	80D	
43	2D	82D	
48	2D	87U	
48	2D	88D	
41	2D	89U	
44	2D	91U	
42	2D	94U	
45	2D	96D	
40	2D	97D	
40	3U	38D	
42	3U	59U	
40	4D	59U	
40	4D	72U	
40	4D	88D	
41	5U	6U	
41	5U	38D	
41	5U	88D	
40	5U	91U	
47	6U	10D	
50	6U	13D	
44	6U	21U	
40	6U	23U	
50	6U	28D	
50	6U	32D	
50	6U	38D	
42	6U	41D	
43	6U	45U	
47	6U	47U	
43	6U	52D	
47	6U	58D	
51	6U	59U	
43	6U	65D	
42	6U	67U	
44	6U	68D	
43	6U	69D	
49	6U	70D	
48	6U	72U	
40	6U	80D	
45	6U	82D	
46	6U	87U	
45	6U	88D	
41	6U	89U	
49	6U	91U	
44	6U	94U	
43	6U	96D	
40	6U	99U	
40	6U	100D	
40	7D	38D	
40	7D	72U	
42	8U	10D	
40	8U	13D	
45	8U	24D	
41	8U	28D	
42	8U	32D	
41	8U	36U	
45	8U	38D	
43	8U	41D	
40	8U	52D	
49	8U	54U	
49	8U	59U	
40	8U	68D	
40	8U	71U	
47	8U	72U	
40	8U	76D	
41	8U	77U	
46	8U	80D	
45	8U	81U	
44	8U	82D	
44	8U	87U	
51	8U	88D	
40	8U	89U	
40	8U	91U	
43	8U	95D	
45	8U	96D	
41	8U	97D	
41	9U	59U	
40	9D	38D	
42	10D	11D	
47	10D	13D	
41	10D	16D	
40	10D	17U	
48	10D	21U	
40	10D	22U	
43	10D	24D	
40	10D	26U	
51	10D	28D	
41	10D	30D	
49	10D	32D	
40	10D	36U	
53	10D	38D	
49	10D	41D	
40	10D	45U	
40	10D	46D	
51	10D	47U	
40	10D	51D	
47	10D	52D	
46	10D	54U	
40	10D	55U	
49	10D	58D	
50	10D	59U	
47	10D	65D	
41	10D	66U	
48	10D	67U	
43	10D	68D	
44	10D	69D	
50	10D	70D	
42	10D	71U	
48	10D	72U	
42	10D	76D	
41	10D	77U	
41	10D	78U	
48	10D	80D	
43	10D	81U	
45	10D	82D	
47	10D	87U	
52	10D	88D	
41	10D	89U	
49	10D	91U	
50	10D	94U	
42	10D	95D	
47	10D	96D	
42	10D	100D	
40	11D	28D	
42	11D	32D	
40	11D	38D	
40	11D	47U	
40	11D	58D	
43	11D	59U	
40	11D	70D	
44	11D	72U	
41	11D	91U	
42	11D	96D	
40	12U	13D	
42	12U	28D	
41	12U	38D	
41	13D	15D	
41	13D	16D	
45	13D	21U	
40	13D	23U	
40	13D	25U	
50	13D	28D	
44	13D	32D	
44	13D	36U	
47	13D	38D	
44	13D	41D	
46	13D	44D	
43	13D	47U	
40	13D	48U	
41	13D	51D	
44	13D	52D	
41	13D	53U	
42	13D	54U	
43	13D	58D	
54	13D	59U	
40	13D	67U	
41	13D	68D	
42	13D	69D	
45	13D	70D	
53	13D	72U	
41	13D	76D	
40	13D	77U	
41	13D	78U	
51	13D	82D	
44	13D	87U	
46	13D	88D	
44	13D	91U	
43	13D	95D	
49	13D	96D	
49	13D	97D	
40	14U	38D	
40	14U	72U	
40	14U	96D	
40	15D	59U	
42	15D	72U	
40	15D	88D	
40	15D	96D	
41	16D	28D	
41	16D	38D	
41	16D	47U	
46	16D	59U	
42	16D	66U	
40	16D	69D	
40	16D	70D	
48	16D	72U	
43	16D	82D	
42	16D	88D	
44	16D	96D	
40	17U	28D	
43	17U	38D	
40	17U	58D	
42	17U	59U	
41	17U	70D	
40	17U	72U	
42	17U	87U	
41	18D	28D	
41	18D	54U	
40	18D	87U	
41	18D	88D	
43	19D	28D	
41	19D	59U	
40	19D	72U	
41	19D	88D	
40	20D	32D	
40	20D	54U	
42	20D	72U	
47	21U	28D	
48	21U	32D	
45	21U	38D	
45	21U	47U	
42	21U	51D	
41	21U	52D	
46	21U	58D	
46	21U	59U	
41	21U	65D	
40	21U	68D	
44	21U	70D	
48	21U	72U	
43	21U	82D	
41	21U	87U	
40	21U	88D	
47	21U	91U	
43	21U	94U	
43	21U	96D	
42	22U	38D	
42	22U	59U	
40	23U	28D	
41	23U	38D	
42	23U	59U	
44	23U	72U	
43	24D	28D	
44	24D	38D	
43	24D	41D	
41	24D	47U	
46	24D	52D	
50	24D	54U	
47	24D	59U	
44	24D	69D	
46	24D	72U	
45	24D	80D	
44	24D	81U	
40	24D	82D	
43	24D	87U	
50	24D	88D	
46	24D	96D	
42	25U	38D	
43	25U	70D	
41	25U	72U	
40	25U	88D	
41	25U	91U	
40	25U	96D	
41	26U	38D	
40	26U	47U	
40	26U	72U	
41	26D	59U	
40	27D	59U	
40	28D	29D	
50	28D	32D	
40	28D	33D	
41	28D	36U	
43	28D	37U	
55	28D	38D	
51	28D	41D	
41	28D	45U	
51	28D	47U	
40	28D	48U	
43	28D	51D	
52	28D	52D	
46	28D	54U	
40	28D	55U	
48	28D	58D	
51	28D	59U	
43	28D	65D	
45	28D	67U	
42	28D	68D	
47	28D	69D	
48	28D	70D	
42	28D	71U	
49	28D	72U	
47	28D	76D	
44	28D	80D	
42	28D	81U	
48	28D	82D	
40	28D	86D	
52	28D	87U	
52	28D	88D	
42	28D	89U	
40	28D	90U	
46	28D	91U	
43	28D	94U	
43	28D	95D	
47	28D	96D	
43	28D	97D	
42	28D	99U	
41	29D	38D	
40	29D	72U	
41	29D	96D	
45	30D	38D	
41	30D	47U	
41	30D	58D	
42	30D	59U	
41	30D	65D	
41	30D	72U	
41	30D	88D	
40	30D	91U	
40	31U	59U	
40	31U	96D	
40	32D	36U	
40	32D	37U	
53	32D	38D	
43	32D	41D	
42	32D	45U	
45	32D	47U	
41	32D	51D	
45	32D	52D	
45	32D	54U	
40	32D	55U	
49	32D	58D	
52	32D	59U	
47	32D	65D	
48	32D	67U	
46	32D	68D	
46	32D	69D	
48	32D	70D	
50	32D	72U	
41	32D	76D	
40	32D	78U	
42	32D	80D	
42	32D	82D	
46	32D	87U	
43	32D	88D	
40	32D	89U	
48	32D	91U	
49	32D	94U	
41	32D	95D	
47	32D	96D	
41	32D	100D	
40	33U	72U	
40	33D	88D	
41	34D	38D	
40	34D	47U	
42	34D	59U	
41	34D	70D	
42	34D	72U	
41	35D	59U	
40	35D	72U	
40	35D	87U	
40	35D	88D	
42	36U	38D	
40	36U	47U	
48	36U	59U	
42	36U	68D	
49	36U	72U	
42	36U	76D	
44	36U	82D	
41	36U	87U	
44	36U	88D	
40	36U	94U	
46	36U	96D	
41	37U	38D	
40	37U	52D	
40	37U	54U	
40	37U	59U	
40	37U	87U	
43	37U	88D	
50	38D	41D	
43	38D	45U	
54	38D	47U	
43	38D	48U	
40	38D	50U	
55	38D	52D	
40	38D	53U	
46	38D	54U	
41	38D	55U	
48	38D	58D	
53	38D	59U	
42	38D	60U	
40	38D	63U	
50	38D	65D	
45	38D	66U	
51	38D	67U	
44	38D	68D	
46	38D	69D	
54	38D	70D	
44	38D	71U	
51	38D	72U	
44	38D	75U	
44	38D	76D	
42	38D	77U	
44	38D	78U	
47	38D	80D	
44	38D	81U	
48	38D	82D	
42	38D	84U	
49	38D	87U	
50	38D	88D	
45	38D	89U	
53	38D	91U	
51	38D	94U	
42	38D	95D	
46	38D	96D	
45	38D	99U	
40	40U	59U	
41	40D	72U	
46	41D	47U	
47	41D	52D	
46	41D	54U	
42	41D	58D	
47	41D	59U	
42	41D	65D	
41	41D	67U	
46	41D	69D	
42	41D	70D	
41	41D	71U	
43	41D	72U	
41	41D	76D	
40	41D	78U	
41	41D	80D	
40	41D	81U	
47	41D	87U	
52	41D	88D	
42	41D	91U	
42	41D	96D	
40	42D	59U	
40	43U	72U	
47	44D	59U	
49	44D	72U	
46	44D	82D	
43	44D	96D	
44	44D	97D	
40	45U	47U	
40	45U	52D	
44	45U	59U	
40	45U	70D	
44	45U	72U	
40	45U	82D	
41	45U	88D	
40	46D	59U	
45	47U	52D	
43	47U	54U	
44	47U	58D	
47	47U	59U	
40	47U	60U	
43	47U	65D	
41	47U	66U	
42	47U	67U	
41	47U	68D	
44	47U	69D	
48	47U	70D	
42	47U	71U	
46	47U	72U	
41	47U	77U	
41	47U	78U	
44	47U	80D	
40	47U	82D	
48	47U	87U	
49	47U	88D	
43	47U	89U	
48	47U	91U	
44	47U	94U	
43	47U	96D	
41	47U	99U	
43	48U	59U	
44	48U	72U	
40	48U	87U	
43	48U	91U	
43	49D	72U	
40	49D	82D	
40	49D	96D	
40	50U	72U	
43	51D	59U	
43	51D	72U	
44	51D	96D	
43	52D	54U	
42	52D	58D	
48	52D	59U	
45	52D	65D	
44	52D	67U	
40	52D	68D	
47	52D	69D	
45	52D	70D	
45	52D	72U	
40	52D	81U	
46	52D	82D	
47	52D	87U	
47	52D	88D	
44	52D	91U	
41	52D	94U	
44	52D	96D	
42	52D	99U	
40	53U	59U	
49	54U	59U	
40	54U	67U	
40	54U	68D	
45	54U	69D	
41	54U	70D	
49	54U	72U	
40	54U	74D	
42	54U	75U	
40	54U	77U	
44	54U	80D	
43	54U	81U	
40	54U	82D	
48	54U	87U	
52	54U	88D	
41	54U	95D	
45	54U	96D	
41	54U	97D	
44	55U	59U	
41	55U	72U	
40	55U	80D	
41	55U	96D	
43	57D	59U	
49	58D	59U	
46	58D	65D	
40	58D	67U	
40	58D	68D	
40	58D	69D	
47	58D	70D	
47	58D	72U	
40	58D	76D	
44	58D	82D	
45	58D	87U	
45	58D	88D	
45	58D	91U	
44	58D	94U	
40	58D	95D	
43	58D	96D	
40	59U	62D	
40	59U	63U	
45	59U	65D	
46	59U	66U	
46	59U	67U	
49	59U	68D	
46	59U	69D	
49	59U	70D	
62	59U	72U	
40	59U	73D	
44	59U	75U	
46	59U	76D	
42	59U	77U	
44	59U	78U	
44	59U	79D	
48	59U	80D	
41	59U	81U	
57	59U	82D	
42	59U	85D	
42	59U	86D	
51	59U	87U	
55	59U	88D	
45	59U	89U	
41	59U	90U	
47	59U	91U	
45	59U	94U	
47	59U	95D	
61	59U	96D	
49	59U	97D	
40	59U	98U	
45	59U	99U	
41	59U	100D	
40	60U	80D	
42	60U	88D	
45	65D	67U	
47	65D	70D	
44	65D	72U	
43	65D	87U	
40	65D	88D	
45	65D	91U	
42	65D	94U	
43	65D	96D	
43	66U	72U	
40	66U	78U	
40	66U	82D	
42	66U	88D	
44	66U	96D	
41	67U	69D	
47	67U	70D	
45	67U	72U	
43	67U	80D	
40	67U	82D	
43	67U	87U	
44	67U	88D	
46	67U	91U	
40	67U	94U	
41	67U	96D	
40	68D	70D	
48	68D	72U	
43	68D	82D	
46	68D	87U	
44	68D	88D	
43	68D	91U	
43	68D	94U	
40	68D	96D	
40	69D	70D	
44	69D	72U	
41	69D	76D	
41	69D	80D	
47	69D	87U	
49	69D	88D	
41	69D	96D	
49	70D	72U	
43	70D	76D	
41	70D	80D	
46	70D	82D	
46	70D	87U	
44	70D	88D	
42	70D	89U	
46	70D	91U	
40	70D	92D	
44	70D	94U	
44	70D	96D	
42	71U	80D	
40	71U	87U	
44	71U	88D	
42	71U	91U	
40	72U	73D	
40	72U	74D	
40	72U	75U	
43	72U	76D	
44	72U	78U	
42	72U	79D	
44	72U	80D	
58	72U	82D	
41	72U	84U	
40	72U	85D	
41	72U	86D	
48	72U	87U	
48	72U	88D	
46	72U	89U	
48	72U	91U	
41	72U	92D	
40	72U	93U	
45	72U	94U	
44	72U	95D	
59	72U	96D	
51	72U	97D	
40	72U	98D	
42	72U	100D	
40	73D	88D	
43	75U	88D	
41	76D	80D	
43	76D	82D	
41	76D	87U	
46	76D	88D	
42	76D	96D	
40	77U	96D	
45	78U	88D	
40	78U	95D	
47	78U	96D	
41	79D	96D	
41	80D	81U	
41	80D	87U	
49	80D	88D	
40	80D	94U	
42	80D	96D	
42	81U	87U	
48	81U	88D	
43	82D	87U	
46	82D	88D	
41	82D	89U	
41	82D	91U	
40	82D	94U	
43	82D	95D	
52	82D	96D	
51	82D	97D	
41	83U	96D	
42	86D	88D	
42	86D	96D	
54	87U	88D	
41	87U	89U	
43	87U	91U	
43	87U	94U	
43	87U	95D	
46	87U	96D	
40	87U	99U	
41	88D	89U	
40	88D	90U	
46	88D	91U	
40	88D	94U	
45	88D	95D	
49	88D	96D	
40	88D	97D	
42	88D	99U	
41	89U	96D	
44	91U	94U	
43	91U	96D	
42	95D	96D	
46	96D	97D	
40	1U	6U	32D	
40	1U	6U	38D	
41	1U	10D	38D	
40	1U	10D	94U	
41	1U	28D	38D	
41	1U	32D	38D	
41	1U	32D	67U	
40	1U	32D	70D	
44	1U	38D	47U	
40	1U	38D	59U	
41	1U	38D	65D	
43	1U	38D	67U	
45	1U	38D	70D	
40	1U	38D	72U	
40	1U	38D	94U	
42	1U	59U	72U	
40	1U	59U	96D	
42	1U	67U	70D	
41	2D	28D	38D	
41	2D	28D	41D	
40	2D	28D	47U	
40	2D	28D	52D	
41	2D	38D	41D	
40	2D	38D	47U	
41	2D	38D	52D	
40	2D	41D	52D	
40	2D	59U	72U	
40	6U	13D	28D	
40	6U	32D	38D	
41	6U	32D	70D	
40	6U	32D	91U	
41	6U	38D	47U	
42	6U	38D	70D	
41	6U	38D	91U	
40	6U	58D	70D	
42	6U	59U	72U	
40	6U	59U	82D	
40	8U	24D	54U	
42	8U	54U	88D	
40	8U	80D	88D	
40	10D	21U	58D	
40	10D	28D	38D	
41	10D	28D	41D	
41	10D	28D	47U	
40	10D	28D	88D	
41	10D	32D	38D	
42	10D	38D	47U	
40	10D	38D	52D	
40	10D	38D	65D	
41	10D	38D	70D	
42	10D	38D	91U	
43	10D	38D	94U	
40	10D	41D	88D	
41	10D	47U	70D	
41	10D	47U	91U	
40	10D	87U	88D	
41	13D	44D	72U	
41	13D	44D	82D	
48	13D	59U	72U	
46	13D	59U	82D	
46	13D	59U	96D	
40	13D	59U	97D	
46	13D	72U	82D	
44	13D	72U	96D	
41	13D	72U	97D	
42	13D	82D	96D	
42	13D	82D	97D	
41	16D	59U	72U	
42	24D	54U	88D	
42	28D	32D	38D	
41	28D	38D	41D	
41	28D	38D	47U	
44	28D	38D	52D	
40	28D	38D	67U	
41	28D	38D	70D	
41	28D	38D	87U	
40	28D	38D	88D	
40	28D	41D	52D	
41	28D	41D	87U	
42	28D	41D	88D	
40	28D	47U	88D	
40	28D	52D	69D	
41	28D	52D	87U	
40	28D	59U	72U	
40	28D	59U	96D	
40	28D	72U	82D	
43	28D	87U	88D	
42	32D	38D	52D	
40	32D	38D	58D	
40	32D	38D	59U	
42	32D	38D	67U	
43	32D	38D	70D	
40	32D	38D	91U	
42	32D	38D	94U	
41	32D	59U	72U	
41	32D	65D	70D	
42	36U	59U	72U	
42	36U	59U	96D	
41	38D	41D	52D	
40	38D	41D	88D	
41	38D	47U	52D	
43	38D	47U	70D	
40	38D	47U	87U	
40	38D	47U	88D	
44	38D	47U	91U	
40	38D	52D	65D	
41	38D	52D	69D	
41	38D	52D	70D	
40	38D	52D	87U	
40	38D	52D	88D	
40	38D	58D	91U	
41	38D	59U	72U	
42	38D	65D	70D	
42	38D	67U	70D	
41	38D	70D	91U	
40	38D	70D	94U	
40	38D	87U	88D	
41	38D	91U	94U	
40	41D	47U	88D	
41	41D	87U	88D	
43	44D	59U	72U	
41	44D	59U	82D	
40	44D	72U	82D	
41	44D	72U	96D	
40	44D	72U	97D	
41	44D	82D	97D	
40	47U	87U	88D	
40	54U	59U	88D	
40	54U	87U	88D	
41	58D	59U	72U	
44	59U	68D	72U	
41	59U	70D	72U	
52	59U	72U	82D	
40	59U	72U	87U	
41	59U	72U	88D	
40	59U	72U	91U	
51	59U	72U	96D	
46	59U	72U	97D	
48	59U	82D	96D	
45	59U	82D	97D	
41	59U	87U	88D	
40	59U	87U	96D	
43	59U	88D	96D	
42	59U	96D	97D	
40	69D	87U	88D	
48	72U	82D	96D	
47	72U	82D	97D	
43	72U	96D	97D	
42	82D	96D	97D	
45	13D	59U	72U	82D	
41	13D	59U	72U	96D	
41	13D	59U	82D	96D	
41	13D	72U	82D	96D	
44	59U	72U	82D	96D	
44	59U	72U	82D	97D	
41	72U	82D	96D	97D	
40	13D	59U	72U	82D	96D	
